,OrderNumber,OrderDate,CustomerNameIndex,Channel,CurrencyCode,WarehouseCode,DeliveryRegionIndex,ProductDescriptionIndex,OrderQuantity,UnitPrice,LineTotal,TotalUnitCost
0,SO - 000101,41791,59,Distributor,USD,NXH382,47,12,5,1963.1,9815.5,1001.181
1,SO - 000102,41791,33,Wholesale,USD,GUT930,36,13,5,3939.6,19698.0,3348.66
2,SO - 000103,41791,8,Export,USD,GUT930,39,5,10,1775.5,17755.0,781.22
3,SO - 000104,41791,76,Export,USD,AXW291,20,11,6,2324.9,13949.4,1464.687
4,SO - 000105,41791,143,Wholesale,USD,AXW291,20,7,6,1822.4,10934.4,1476.144
5,SO - 000106,41791,124,Wholesale,USD,NXH382,52,13,6,1038.5,6231.0,446.555
6,SO - 000107,41791,151,Distributor,USD,AXW291,1,12,10,1192.6,11926.0,536.67
7,SO - 000108,41791,20,Distributor,USD,NXH382,51,7,10,1815.7,18157.0,1525.188
8,SO - 000109,41792,121,Wholesale,USD,NXH382,54,2,7,3879.3,27155.1,2211.201
9,SO - 000110,41792,110,Wholesale,USD,NXH382,47,7,6,1956.4,11738.4,1212.968
10,SO - 000111,41792,130,Export,USD,AXW291,3,6,12,201.0,2412.0,124.62
11,SO - 000112,41792,144,Distributor,USD,AXW291,28,11,8,6277.9,50223.2,2762.276
12,SO - 000113,41792,130,Export,USD,NXH382,57,5,7,1051.9,7363.3,641.659
13,SO - 000114,41792,27,Export,USD,NXH382,53,12,9,254.6,2291.4,216.41
14,SO - 000115,41792,63,Distributor,USD,AXW291,25,3,5,3932.9,19664.5,3146.32
15,SO - 000116,41792,110,Wholesale,USD,FLR025,64,9,10,1112.2,11122.0,700.686
16,SO - 000117,41792,110,Wholesale,USD,NXH382,58,15,12,1239.5,14874.0,904.835
17,SO - 000118,41792,156,Export,USD,AXW291,4,4,12,984.9,11818.8,393.96
18,SO - 000119,41792,41,Distributor,USD,FLR025,63,15,5,5581.1,27905.5,4130.014
19,SO - 000120,41792,4,Wholesale,USD,AXW291,25,2,8,3095.4,24763.2,1795.332
20,SO - 000121,41792,112,Export,USD,GUT930,35,15,8,2278.0,18224.0,1754.06
21,SO - 000122,41793,90,Export,USD,NXH382,51,10,12,991.6,11899.2,654.456
22,SO - 000123,41793,109,Distributor,USD,AXW291,4,9,6,3979.8,23878.8,3064.446
23,SO - 000124,41793,52,Wholesale,USD,GUT930,40,14,12,1969.8,23637.6,866.712
24,SO - 000125,41793,127,Wholesale,USD,GUT930,31,9,12,268.0,3216.0,131.32
25,SO - 000126,41793,133,Wholesale,USD,AXW291,20,4,11,174.2,1916.2,95.81
26,SO - 000127,41793,116,Distributor,USD,GUT930,42,13,6,2988.2,17929.2,2510.088
27,SO - 000128,41793,20,Wholesale,USD,GUT930,43,2,11,3999.9,43998.9,2679.933
28,SO - 000129,41793,130,Distributor,USD,AXW291,18,7,10,5976.4,59764.0,2450.324
29,SO - 000130,41793,103,Wholesale,USD,AXW291,19,12,6,2901.1,17406.6,2378.902
30,SO - 000131,41794,133,Distributor,USD,NXH382,55,4,7,6076.9,42538.3,2734.605
31,SO - 000132,41794,51,Distributor,USD,NXH382,55,6,6,5735.2,34411.2,4186.696
32,SO - 000133,41794,175,Export,USD,GUT930,39,6,12,3919.5,47034.0,2077.335
33,SO - 000134,41794,117,Distributor,USD,FLR025,66,8,8,6083.6,48668.8,3832.668
34,SO - 000135,41794,42,Wholesale,USD,FLR025,61,5,5,2566.1,12830.5,1642.304
35,SO - 000136,41794,166,Wholesale,USD,AXW291,15,9,10,2278.0,22780.0,1093.44
36,SO - 000137,41794,173,Wholesale,USD,GUT930,46,4,7,261.3,1829.1,120.198
37,SO - 000138,41794,11,Wholesale,USD,FLR025,65,2,9,998.3,8984.7,698.81
38,SO - 000139,41794,39,Wholesale,USD,AXW291,17,14,6,3497.4,20984.4,1958.544
39,SO - 000140,41794,137,Wholesale,USD,GUT930,36,2,9,1132.3,10190.7,486.889
40,SO - 000141,41794,75,Wholesale,USD,AXW291,8,10,9,2405.3,21647.7,1587.498
41,SO - 000142,41794,33,Distributor,USD,FLR025,66,14,7,5701.7,39911.9,3249.969
42,SO - 000143,41795,134,Distributor,USD,GUT930,45,4,9,2452.2,22069.8,1446.798
43,SO - 000144,41795,115,Wholesale,USD,AXW291,2,15,7,3095.4,21667.8,2012.01
44,SO - 000145,41795,90,Export,USD,GUT930,38,13,9,3865.9,34793.1,2164.904
45,SO - 000146,41795,2,Distributor,USD,AXW291,7,7,7,2304.8,16133.6,1382.88
46,SO - 000147,41795,47,Distributor,USD,AXW291,7,8,10,3195.9,31959.0,1470.114
47,SO - 000148,41795,80,Wholesale,USD,NXH382,53,12,10,6452.1,64521.0,5161.68
48,SO - 000149,41796,78,Export,USD,AXW291,19,13,6,2003.3,12019.8,921.518
49,SO - 000150,41796,91,Wholesale,USD,AXW291,4,6,5,3638.1,18190.5,1455.24
50,SO - 000151,41796,19,Export,USD,AXW291,20,3,6,2278.0,13668.0,1822.4
51,SO - 000152,41796,21,Distributor,USD,AXW291,26,5,12,924.6,11095.2,582.498
52,SO - 000153,41796,31,Wholesale,USD,AXW291,20,7,11,3926.2,43188.2,3062.436
53,SO - 000154,41796,70,Export,USD,FLR025,63,3,7,3825.7,26779.9,2257.163
54,SO - 000155,41796,89,Wholesale,USD,FLR025,65,10,10,2257.9,22579.0,1377.319
55,SO - 000156,41797,3,Wholesale,USD,AXW291,27,2,7,1112.2,7785.4,756.296
56,SO - 000157,41797,76,Wholesale,USD,AXW291,19,4,5,3557.7,17788.5,1814.427
57,SO - 000158,41797,3,Distributor,USD,AXW291,11,11,7,2371.8,16602.6,1233.336
58,SO - 000159,41797,125,Wholesale,USD,AXW291,11,8,12,857.6,10291.2,686.08
59,SO - 000160,41798,86,Wholesale,USD,GUT930,43,3,11,3892.7,42819.7,2880.598
60,SO - 000161,41798,1,Distributor,USD,AXW291,28,15,8,3477.3,27818.4,1390.92
61,SO - 000162,41798,104,Distributor,USD,AXW291,28,8,6,3738.6,22431.6,2803.95
62,SO - 000163,41798,63,Wholesale,USD,NXH382,48,1,8,1072.0,8576.0,589.6
63,SO - 000164,41798,121,Wholesale,USD,AXW291,22,7,12,2257.9,27094.8,1761.162
64,SO - 000165,41798,40,Distributor,USD,GUT930,42,5,5,1058.6,5293.0,751.606
65,SO - 000166,41798,118,Wholesale,USD,AXW291,14,12,10,2492.4,24924.0,1296.048
66,SO - 000167,41798,20,Wholesale,USD,AXW291,13,14,6,3852.5,23115.0,2465.6
67,SO - 000168,41799,119,Wholesale,USD,GUT930,39,13,11,241.2,2653.2,132.66
68,SO - 000169,41799,134,Distributor,USD,AXW291,6,3,5,1051.9,5259.5,494.393
69,SO - 000170,41799,146,Distributor,USD,AXW291,31,2,8,227.8,1822.4,107.066
70,SO - 000171,41799,101,Wholesale,USD,FLR025,60,1,9,1078.7,9708.3,506.989
71,SO - 000172,41799,125,Wholesale,USD,AXW291,18,3,6,1005.0,6030.0,743.7
72,SO - 000173,41799,109,Distributor,USD,NXH382,52,6,6,2485.7,14914.2,1317.421
73,SO - 000174,41799,108,Distributor,USD,AXW291,26,3,10,2659.9,26599.0,2154.519
74,SO - 000175,41800,72,Wholesale,USD,AXW291,20,15,11,2224.4,24468.4,1579.324
75,SO - 000176,41800,152,Wholesale,USD,FLR025,61,14,8,2472.3,19778.4,1260.873
76,SO - 000177,41800,71,Wholesale,USD,GUT930,42,9,7,1011.7,7081.9,799.243
77,SO - 000178,41800,133,Wholesale,USD,GUT930,42,11,6,234.5,1407.0,128.975
78,SO - 000179,41800,131,Distributor,USD,AXW291,29,3,8,261.3,2090.4,143.715
79,SO - 000180,41800,147,Export,USD,AXW291,7,4,5,4006.6,20033.0,2844.686
80,SO - 000181,41800,150,Distributor,USD,GUT930,38,1,6,1333.3,7999.8,866.645
81,SO - 000182,41801,109,Wholesale,USD,GUT930,46,13,5,167.5,837.5,90.45
82,SO - 000183,41801,140,Export,USD,FLR025,61,12,5,3195.9,15979.5,1821.663
83,SO - 000184,41801,3,Wholesale,USD,NXH382,56,12,10,1051.9,10519.0,809.963
84,SO - 000185,41801,102,Export,USD,AXW291,2,5,9,5447.1,49023.9,3540.615
85,SO - 000186,41801,159,Wholesale,USD,GUT930,36,7,8,3182.5,25460.0,1973.15
86,SO - 000187,41802,136,Wholesale,USD,FLR025,61,9,5,891.1,4455.5,632.681
87,SO - 000188,41802,145,Export,USD,AXW291,29,13,7,3892.7,27248.9,2724.89
88,SO - 000189,41802,21,Export,USD,GUT930,45,9,9,3953.0,35577.0,3360.05
89,SO - 000190,41802,106,Wholesale,USD,GUT930,34,4,9,924.6,8321.4,545.514
90,SO - 000191,41802,5,Distributor,USD,GUT930,34,4,10,3430.4,34304.0,1989.632
91,SO - 000192,41802,57,Wholesale,USD,AXW291,31,6,8,1152.4,9219.2,622.296
92,SO - 000193,41802,28,Wholesale,USD,AXW291,24,9,5,1085.4,5427.0,922.59
93,SO - 000194,41803,34,Wholesale,USD,AXW291,27,6,5,5031.7,25158.5,4025.36
94,SO - 000195,41803,72,Wholesale,USD,AXW291,18,8,8,1092.1,8736.8,436.84
95,SO - 000196,41803,170,Export,USD,AXW291,4,7,9,187.6,1688.4,144.452
96,SO - 000197,41803,13,Export,USD,AXW291,17,9,9,3993.2,35938.8,2835.172
97,SO - 000198,41803,19,Export,USD,FLR025,65,1,11,2472.3,27195.3,1433.934
98,SO - 000199,41803,166,Wholesale,USD,AXW291,5,9,11,1206.0,13266.0,844.2
99,SO - 000200,41803,136,Distributor,USD,AXW291,26,4,11,1728.6,19014.6,985.302
100,SO - 000201,41803,121,Wholesale,USD,AXW291,25,15,6,1983.2,11899.2,1447.736
101,SO - 000202,41803,75,Wholesale,USD,GUT930,33,14,7,5313.1,37191.7,2656.55
102,SO - 000203,41803,124,Export,USD,AXW291,11,15,11,871.0,9581.0,566.15
103,SO - 000204,41804,100,Wholesale,USD,GUT930,32,13,6,2532.6,15195.6,2051.406
104,SO - 000205,41804,54,Wholesale,USD,AXW291,17,7,8,5916.1,47328.8,4673.719
105,SO - 000206,41804,146,Wholesale,USD,GUT930,42,13,7,2887.7,20213.9,1443.85
106,SO - 000207,41804,170,Wholesale,USD,GUT930,36,15,7,1855.9,12991.3,1447.602
107,SO - 000208,41804,108,Distributor,USD,AXW291,11,4,6,207.7,1246.2,135.005
108,SO - 000209,41804,166,Wholesale,USD,FLR025,62,3,6,1058.6,6351.6,772.778
109,SO - 000210,41804,142,Wholesale,USD,GUT930,44,11,10,958.1,9581.0,517.374
110,SO - 000211,41804,100,Wholesale,USD,GUT930,34,1,9,2659.9,23939.1,1675.737
111,SO - 000212,41804,75,Distributor,USD,AXW291,26,6,12,2217.7,26612.4,1707.629
112,SO - 000213,41805,155,Wholesale,USD,AXW291,8,11,7,1715.2,12006.4,857.6
113,SO - 000214,41805,20,Wholesale,USD,NXH382,52,2,6,3932.9,23597.4,1691.147
114,SO - 000215,41805,104,Distributor,USD,AXW291,31,2,5,2546.0,12730.0,1909.5
115,SO - 000216,41805,150,Distributor,USD,NXH382,50,5,5,837.5,4187.5,603.0
116,SO - 000217,41805,70,Distributor,USD,GUT930,40,6,10,1809.0,18090.0,1302.48
117,SO - 000218,41805,77,Distributor,USD,NXH382,55,9,5,857.6,4288.0,514.56
118,SO - 000219,41805,38,Export,USD,AXW291,2,5,8,1748.7,13989.6,1101.681
119,SO - 000220,41805,68,Distributor,USD,AXW291,14,5,10,1266.3,12663.0,582.498
120,SO - 000221,41805,142,Wholesale,USD,AXW291,5,13,11,5058.5,55643.5,3591.535
121,SO - 000222,41805,74,Distributor,USD,AXW291,7,5,10,958.1,9581.0,795.223
122,SO - 000223,41805,156,Export,USD,AXW291,22,6,11,1802.3,19825.3,756.966
