,DeliveryRegionIndex,City,Country,FullName
0,1,LONDON,UK,"LONDON, UK"
1,2,BERLIN,Germany,"BERLIN, Germany"
2,3,MADRID,Spain,"MADRID, Spain"
3,4,ROMA,Italy,"ROMA, Italy"
4,5,KIEV,Ukraine,"KIEV, Ukraine"
5,6,PARIS,France,"PARIS, France"
6,7,BUCURESTI (Bucharest),Romania,"BUCURESTI (Bucharest), Romania"
7,8,BUDAPEST,Hungary,"BUDAPEST, Hungary"
8,9,Hamburg,Germany,"Hamburg, Germany"
9,10,MINSK,Belarus,"MINSK, Belarus"
10,11,WARSZAWA (Warsaw),Poland,"WARSZAWA (Warsaw), Poland"
11,12,BEOGRAD (Belgrade),Serbia,"BEOGRAD (Belgrade), Serbia"
12,13,WIEN (Vienna),Austria,"WIEN (Vienna), Austria"
13,14,Kharkov,Ukraine,"Kharkov, Ukraine"
14,15,Barcelona,Spain,"Barcelona, Spain"
15,16,Milano (Milan),Italy,"Milano (Milan), Italy"
16,17,München (Munich),Germany,"München (Munich), Germany"
17,18,PRAHA (Prague),Czech Republic,"PRAHA (Prague), Czech Republic"
18,19,SOFIA,Bulgaria,"SOFIA, Bulgaria"
19,20,Dnepropetrovsk,Ukraine,"Dnepropetrovsk, Ukraine"
20,21,Donetsk,Ukraine,"Donetsk, Ukraine"
21,22,Napoli (Naples),Italy,"Napoli (Naples), Italy"
22,23,Birmingham,UK,"Birmingham, UK"
23,24,Odessa,Ukraine,"Odessa, Ukraine"
24,25,Köln (Cologne),Germany,"Köln (Cologne), Germany"
25,26,Torino (Turin),Italy,"Torino (Turin), Italy"
26,27,ZAGREB,Croatia,"ZAGREB, Croatia"
27,28,Zaporozhye,Ukraine,"Zaporozhye, Ukraine"
28,29,Lódz,Poland,"Lódz, Poland"
29,30,Marseille,France,"Marseille, France"
30,31,RIGA,Latvia,"RIGA, Latvia"
31,32,Lvov,Ukraine,"Lvov, Ukraine"
32,33,ATHINAI (Athens),Greece,"ATHINAI (Athens), Greece"
33,34,Salonika,Greece,"Salonika, Greece"
34,35,STOCKHOLM,Sweden,"STOCKHOLM, Sweden"
35,36,Kraków,Poland,"Kraków, Poland"
36,37,Valencia,Spain,"Valencia, Spain"
37,38,AMSTERDAM,Netherlands,"AMSTERDAM, Netherlands"
38,39,Leeds,UK,"Leeds, UK"
39,40,Kryvy Rig,Ukraine,"Kryvy Rig, Ukraine"
40,41,Sevilla,Spain,"Sevilla, Spain"
41,42,Palermo,Italy,"Palermo, Italy"
42,43,KISHINEV,Moldova,"KISHINEV, Moldova"
43,44,Genova,Italy,"Genova, Italy"
44,45,Frankfurt am Main,Germany,"Frankfurt am Main, Germany"
45,46,Wroclaw (Breslau),Poland,"Wroclaw (Breslau), Poland"
46,47,Glasgow,UK,"Glasgow, UK"
47,48,Zaragoza,Spain,"Zaragoza, Spain"
48,49,Essen,Germany,"Essen, Germany"
49,50,Rotterdam,Netherlands,"Rotterdam, Netherlands"
50,51,Dortmund,Germany,"Dortmund, Germany"
51,52,Stuttgart,Germany,"Stuttgart, Germany"
52,53,VILNIUS,Lithuania,"VILNIUS, Lithuania"
53,54,Poznan,Poland,"Poznan, Poland"
54,55,Düsseldorf,Germany,"Düsseldorf, Germany"
55,56,LISBOA (Lisbon),Portugal,"LISBOA (Lisbon), Portugal"
56,57,HELSINKI,Finland,"HELSINKI, Finland"
57,58,Málaga,Spain,"Málaga, Spain"
58,59,Bremen,Germany,"Bremen, Germany"
59,60,Sheffield,UK,"Sheffield, UK"
60,61,SARAJEVO,Bosnia,"SARAJEVO, Bosnia"
61,62,Duisburg,Germany,"Duisburg, Germany"
62,63,Hannover,Germany,"Hannover, Germany"
63,64,Mykolaiv,Ukraine,"Mykolaiv, Ukraine"
64,65,OSLO,Norway,"OSLO, Norway"
65,66,KOBENHAVN (Copenhagen),Denmark,"KOBENHAVN (Copenhagen), Denmark"
